question,optionA,optionB,optionC,optionD,correctIndex,explanation
"Who is the current Chief Minister of Andhra Pradesh (as of 2024–26)?","Y.S. Jagan Mohan Reddy","N. Chandrababu Naidu","Pawan Kalyan","K. Chandrashekar Rao",1,"N. Chandrababu Naidu of the Telugu Desam Party (TDP) assumed office on 12 June 2024."
"What is the capital city of Andhra Pradesh?","Hyderabad","Visakhapatnam","Vijayawada","Amaravati",3,"Amaravati was officially designated as the sole capital of Andhra Pradesh in 2024."
"Who is the Governor of Andhra Pradesh?","Biswabhusan Harichandan","Tamilisai Soundararajan","Syed Abdul Nazeer","Arif Mohammed Khan",2,"Syed Abdul Nazeer has been serving as the Governor of Andhra Pradesh since 24 February 2023."
"Which party does the current Chief Minister of Andhra Pradesh belong to?","YSR Congress Party (YSRCP)","Bharatiya Janata Party (BJP)","Telugu Desam Party (TDP)","Indian National Congress (INC)",2,"N. Chandrababu Naidu is the leader of the Telugu Desam Party (TDP)."
"How many districts does Andhra Pradesh currently have (as of 2026)?","13","26","28","32",2,"Andhra Pradesh now has 28 districts after the creation of Polavaram and Markapuram districts in 2025–26."
"On which date was Andhra Pradesh officially formed?","2 June 2014","26 January 1950","1 November 1956","1 October 1953",2,"Andhra Pradesh in its present form came into existence on 1 November 1956 through the States Reorganisation Act."
"Who is the Deputy Chief Minister of Andhra Pradesh?","Nara Lokesh","Payyavula Keshav","Konidela Pawan Kalyan","Botsa Satyanarayana",2,"Pawan Kalyan of the Janasena Party (JSP) serves as Deputy Chief Minister of Andhra Pradesh."
"How many seats does the Andhra Pradesh Legislative Assembly (Vidhan Sabha) have?","294","117","175","225",2,"The Andhra Pradesh Legislative Assembly consists of 175 elected members."
"Andhra Pradesh is known by which agricultural nickname?","Spice Bowl of India","Sugar Bowl of India","Rice Bowl of India","Grain Bowl of India",2,"Andhra Pradesh is called the Rice Bowl of India as it is the largest rice-producing state in the country."
"Which river flows near the capital city Amaravati?","Godavari","Tungabhadra","Cauvery","Krishna",3,"Amaravati is situated on the right bank of the Krishna River in Guntur district."
"What type of legislature does Andhra Pradesh have?","Unicameral","Bicameral","Tricameral","Federal",1,"The Andhra Pradesh Legislature is bicameral — comprising the Vidhan Sabha (lower house) and Vidhan Parishad (upper house)."
"How many seats does the Andhra Pradesh Legislative Council (upper house) have?","40","58","75","90",1,"The Andhra Pradesh Legislative Council (Vidhan Parishad) has 58 seats — 50 elected and 8 nominated."
"Which dynasty historically had Amaravati as its capital?","Chola Dynasty","Vijayanagara Empire","Satavahana Dynasty","Kakatiya Dynasty",2,"Amaravati was the capital of the ancient Satavahana Dynasty over 2200 years ago."
"What is the official language of Andhra Pradesh?","Kannada","Urdu","Tamil","Telugu",3,"Telugu is the official and most widely spoken language in Andhra Pradesh."
"Who was the first Chief Minister of Andhra Pradesh?","N. Chandrababu Naidu","Neelam Sanjeeva Reddy","Y.S. Rajasekhara Reddy","T. Prakasam",1,"Neelam Sanjeeva Reddy was the inaugural Chief Minister of Andhra Pradesh from 1 November 1956."
"Which ministry does Nara Lokesh head in the current AP cabinet?","Finance and Planning","Revenue and Forests","IT Electronics & Communications","Agriculture and Cooperation",2,"Nara Lokesh is the Minister for IT Electronics & Communications in Chandrababu Naidu's cabinet since 12 June 2024."
"When did Telangana bifurcate from Andhra Pradesh?","1 November 1956","2 June 2014","15 August 2000","26 January 2014",1,"Telangana was carved out from Andhra Pradesh and became a separate state on 2 June 2014."
"Which is the largest city in Andhra Pradesh?","Vijayawada","Guntur","Tirupati","Visakhapatnam",3,"Visakhapatnam (Vizag) is the largest city in Andhra Pradesh by population."
"What is the approximate area of Andhra Pradesh in square kilometres?","275000","200000","162970","140000",2,"Andhra Pradesh covers approximately 162970 sq km making it India's eighth-largest state by area."
"Who is the Speaker of the Andhra Pradesh Legislative Assembly (as of 2024)?","Koyye Moshenu Raju","Raghu Rama Krishna Raju","Chintakayala Ayyanna Patrudu","Payyavula Keshav",2,"Chintakayala Ayyanna Patrudu of the TDP was elected Speaker of the Andhra Pradesh Vidhan Sabha on 22 June 2024."
